,Site Number,Site Name,Year,Average Daily Volume,Latitude,Longitude
41,104552,Princess Elizabeth Avenue West of 109 Street West,2012,13800.0,53.5632553,-113.5104216
42,100278,Rossdale Road West of 100 Street,2016,2100.0,53.5373416,-113.4922463
44,439921,88A Street North of 140 Avenue,2014,1800.0,53.6045668,-113.4763373
45,530767,17 Street North of Maple Ridge Drive,2013,11600.0,53.5012926,-113.3691831
48,101006,102A Avenue West of 100 Street,2011,6200.0,53.54441,-113.491659
49,530759,17 Street North of Whitemud Drive EB,2017,16100.0,53.4820793,-113.3688324
51,252749,109 Street North of  71 Avenue,2011,22500.0,53.5080161,-113.5120314
53,518056,51 Avenue West of  75 Street,2016,1900.0,53.4880192,-113.446183
56,101174,103A Avenue West of  93 Street,2017,8600.0,53.5480884,-113.4790802
59,263615,170 Street North of  69 Avenue,2011,31800.0,53.50823,-113.6154983
62,113021,121 Street North of 102 Avenue,2014,2500.0,53.5437601,-113.5308362
63,404312,132 Avenue West of Delwood Road,2015,8900.0,53.592234,-113.465103
65,251675,106 Street North of  84 Avenue,2013,700.0,53.520743,-113.503454
67,239271,Saskatchewan Drive East of 116 Street,2017,4900.0,53.5300883,-113.5273108
69,536155,61 Street North of  94B Avenue,2016,300.0,53.5343004,-113.4262541
72,432613,Victoria Trail North of Yellowhead Trail Westbound,2017,24800.0,53.5772154,-113.382637
73,333949,149 Street North of 121A Avenue,2016,21700.0,53.5751275,-113.5779426
76,539607,85 Street North of  83 Avenue,2017,8600.0,53.5193049,-113.4583239
77,302468,Webber Greens Drive West of Lewis Farms Transit Center,2017,19100.0,53.5237052,-113.6704738
78,536451,63 Street North of 101 Avenue,2014,2700.0,53.542077,-113.429341
79,256331,119 Street North of  40 Avenue,2017,25100.0,53.4776479,-113.5387592
82,331713,135 Street North of 111 Avenue,2013,5300.0,53.5600236,-113.5555136
84,336937,184 Street North of 116 Avenue,2014,19300.0,53.5689008,-113.6401577
85,337337,Anthony Henday Drive West North of Stony Plain Road,2015,100000.0,53.5487242,-113.6590075
87,533019,38 Street North of  21 Avenue,2017,3000.0,53.453251,-113.3992744
88,501132,28 Avenue SW West of  17 Street SW,2013,300.0,53.4080606,-113.3767284
89,540507,91 Street North of  28 Avenue,2017,37500.0,53.462011,-113.466586
90,308904,Stony Plain Road West of 148 Street,2017,25800.0,53.5420126,-113.5768904
91,414164,153 Avenue NE West of 17 Street NE,2016,400.0,53.6140427,-113.3341276
92,522160,82 Avenue west of  98 Street,2017,24500.0,53.5180698,-113.4847819
93,415856,Brintnell Boulevard West of  47 Street,2014,1200.0,53.619228,-113.4134117
94,205990,MacEwan Road SW West of 111 Street SW,2017,8200.0,53.429349,-113.517796
96,333837,149 Street North of  94 Avenue,2015,27700.0,53.5311681,-113.5779786
97,520300,73 Avenue West of  17 Street,2018,2500.0,53.5085402,-113.370622
98,253415,111 Street North of  51 Avenue,2015,26500.0,53.4895281,-113.5167528
99,104166,118 Avenue West of Abbottsfield Road,2017,16100.0,53.5704228,-113.3924036
100,251807,107 Street North of  47 Avenue,2017,1100.0,53.4865316,-113.5078855
101,536315,Woodvale Road West North of  37A Avenue,2011,1400.0,53.4735426,-113.4335835
103,213364,23 Avenue West of 105 Street,2016,29700.0,53.4539043,-113.5052775
105,518568,58 Avenue West of  91 Street,2013,7200.0,53.4938994,-113.4680725
107,439921,88A Street North of 140 Avenue,2013,1800.0,53.6045668,-113.4763373
110,433357,34 Street North of 227 Avenue,2017,200.0,53.6941618,-113.3934468
111,106174,124 Avenue West of Mount Lawn Road,2016,500.0,53.5788973,-113.4531798
112,600015,Groat Bridge,2014,36400.0,53.536743,-113.5388671
114,100704,Jasper Avenue West of 104 Street,2014,18900.0,53.5409384,-113.5001423
117,263615,170 Street North of  69 Avenue,2017,36800.0,53.50823,-113.6154983
118,518236,55 Avenue West of  48 Street,2013,2200.0,53.4919037,-113.4164604
119,700001,Highway 16 East West of Highway 21 NE,2016,29700.0,53.570138,-113.254686
120,524298,92A Avenue West of  86 Street,2015,500.0,53.527223,-113.4600686
121,534215,47 Street North of  23 Avenue,2012,1800.0,53.4559767,-113.4151384
122,518884,63 Avenue West of 100 Street,2015,28700.0,53.499886,-113.490105
123,267737,Glastonbury Boulevard North of Gessinger Road,2012,1100.0,53.4977674,-113.6673622
124,522112,82 Avenue West of  89 Street,2015,23400.0,53.518027,-113.465822
125,500224,41 Avenue SW West of  91 Street SW,2014,2600.0,53.3958627,-113.4799795
126,100580,MacDonald Drive West of 100 Street,2016,2800.0,53.539425,-113.49132
127,110059,34 Street North of 111 Avenue,2012,2700.0,53.5646761,-113.3937436
128,337439,199 Street South of Trumpeter Way,2017,1000.0,53.5885,-113.6641
129,333785,St Albert Trail North of 134 Avenue,2016,38900.0,53.5960387,-113.5716024
130,410910,Griesbach Parade West of  97 Street,2015,1300.0,53.6021814,-113.4924351
132,251315,105A Street North of  75 Avenue,2017,1500.0,53.5118132,-113.5025795
133,436065,62 Street North of 131 Avenue,2017,700.0,53.5914111,-113.4367042
134,443297,113A Street North of 134 Avenue,2011,16900.0,53.596021,-113.516672
135,518868,63 Avenue West of  97 Street,2015,26900.0,53.4999339,-113.482075
137,537535,71 Street North of  83 Avenue,2017,2200.0,53.5200428,-113.4367941
138,338129,215 Street North of Secord Boulevard,2013,8100.0,53.5347227,-113.6890268
142,253421,111 Street North of  54 Avenue,2018,24800.0,53.4925351,-113.5167708
144,521940,Sherwood Park Freeway EB Off-Ramp WO 50 Street,2017,6100.0,53.5138507,-113.420984
146,525072,95 Avenue West of Austin O'Brien Road,2017,300.0,53.53463,-113.431731
147,111883,101 Street North of 105 Avenue,2018,21600.0,53.5481365,-113.4937122
148,538019,75 Street North of  76 Avenue,2015,39000.0,53.512947,-113.4429365
149,112895,118 Street North of 100 Avenue,2016,1100.0,53.5403292,-113.5249726
150,308988,102 Avenue West of Tweedsmuir Crescent East,2014,31100.0,53.5430547,-113.5508731
151,100572,Grierson Hill West of  95A Street,2016,17900.0,53.5425417,-113.4826865
154,410636,145 Avenue West of 116 Street,2012,3500.0,53.6073628,-113.5224725
155,430013,33 Street NE North of 137 Avenue NE,2018,900.0,53.6023522,-113.2952589
158,319204,160 Avenue West of 134 Street,2016,1400.0,53.62131,-113.55613
159,438225,76 Street North of 167 Avenue,2013,3700.0,53.629122,-113.4597088
160,330417,127 Street North of 109A Avenue,2015,1500.0,53.556562,-113.5411604
161,412748,151 Avenue West of  22 Street,2016,2200.0,53.6131304,-113.3749927
163,334903,Meadowlark Road North of  88A Avenue,2016,10500.0,53.5217163,-113.5951197
164,534839,50 Street North of  52 Avenue,2018,31500.0,53.4906678,-113.4181871
165,101454,105 Avenue West of 115 Street,2011,3800.0,53.5482754,-113.520521
168,228286,57 Avenue West of 111 Street,2017,3700.0,53.4940973,-113.5173014
169,213448,23 Avenue West of Hodgson Way,2016,25800.0,53.4540917,-113.5636164
170,256751,122 Street North of  63 Avenue,2013,11400.0,53.501043,-113.541151
172,234970,74 Avenue West of 108 Street,2017,200.0,53.5103693,-113.5106554
175,537559,71 Street North of  98 Avenue,2011,1800.0,53.5380204,-113.4368661
177,250091,Gateway Boulevard North of  48 Avenue,2016,32800.0,53.4866814,-113.4919945
178,261671,156 Street North of  75 Avenue,2015,1000.0,53.5074277,-113.5903713
180,427248,Manning Drive NE West of  33 Street NE,2015,16100.0,53.6880272,-113.3147292
181,439085,82 Street North of 134 Avenue,2017,28800.0,53.5961241,-113.4673441
183,518480,Roper Road West of  48 Street,2016,5600.0,53.495499,-113.4158309
184,338097,215 Street North of 103 Avenue,2016,10400.0,53.5454327,-113.6885862
187,110629,62 Street North of 114 Avenue,2017,300.0,53.5696057,-113.4359218
188,226258,51 Avenue West of 122A Street,2017,1800.0,53.4882493,-113.542986
189,522268,83 Avenue West of  87 Street,2015,700.0,53.5190269,-113.4628115
190,112195,107 Street North of 100 Avenue,2015,4700.0,53.5398589,-113.5046929
191,514712,37A Avenue West of  17 Street,2017,4800.0,53.4724827,-113.3692371
192,539743,86 Street North of  51 Avenue,2012,11700.0,53.4891214,-113.4546007
195,404512,132 Avenue West of 113 Street,2015,9100.0,53.5921477,-113.5157456
196,238684,87 Avenue West of 114 Street,2014,15500.0,53.52293,-113.529816
197,600013,Dawson Bridge,2014,13000.0,53.5490074,-113.466067
198,304252,92 Avenue West of 156 Street,2013,900.0,53.5266884,-113.5926286
200,310036,104 Avenue West of 160 Street,2015,1200.0,53.5464266,-113.5983842
201,310328,105 Avenue West of 139 Street,2018,900.0,53.5477785,-113.5622854
202,102592,111 Avenue West of 105 Avenue,2016,21800.0,53.5588965,-113.5020489
203,236128,76 Avenue West of 177 Avenue,2018,3300.0,53.5094013,-113.6294018
204,262109,159 Street North of  78 Avenue,2012,7700.0,53.510621,-113.596733
206,332929,142 Street North of Stony Plain Road,2015,15000.0,53.5436906,-113.5657838
208,260609,Riverbend Road North of  53 Avenue,2014,4900.0,53.4926849,-113.5782214
209,333813,149 Street North of  87 Avenue,2011,22900.0,53.520519,-113.577955
211,525072,95 Avenue West of Austin O'Brien Road,2015,300.0,53.53463,-113.431731
212,509124,19 Avenue West of  49 Street,2015,6500.0,53.4500645,-113.4179983
213,432613,Victoria Trail North of Yellowhead Trail Westbound,2011,27000.0,53.5772154,-113.382637
214,103612,115 Avenue West of  81 Street,2012,9800.0,53.565824,-113.466098
215,519384,66 Avenue West of  91 Street,2017,2800.0,53.5029509,-113.4686301
216,305776,95 Avenue West of 167 Street,2011,20200.0,53.5316546,-113.6128003
218,226054,51 Avenue West of 105 Street,2014,19400.0,53.4882332,-113.5013744
220,526028,101 Avenue West of  49 Street,2016,30700.0,53.5411576,-113.4166943
222,402268,129 Avenue West of  50 Street,2017,6400.0,53.5875997,-113.4194552
224,444753,127 Street North of 135 Avenue,2016,29700.0,53.5971915,-113.5411694
225,266381,Ormsby Road West North of Ormsby Lane South,2017,800.0,53.4992064,-113.6532338
226,535699,57 Street North of  89 Avenue,2014,900.0,53.5226199,-113.4232233
229,262355,Wolf Willow Road South of Willow Way,2016,400.0,53.5037639,-113.5983572
230,110705,66 Street North of 112 Avenue,2015,1100.0,53.5651141,-113.4396989
232,262355,Wolf Willow Road South of Willow Way,2015,400.0,53.5037639,-113.5983572
233,504664,Ellerslie Road West of 50 Street,2015,14500.0,53.4249122,-113.4228726
234,434329,50 Street North of 129 Avenue,2011,37300.0,53.5885125,-113.418331
235,510136,23 Avenue West of Meridian Street,2018,2000.0,53.4539632,-113.3604327
236,533775,Mill Woods Road East North of  23 Avenue,2016,3600.0,53.4564533,-113.4089151
239,112249,109 Street North of  97 Avenue,2013,33300.0,53.535929,-113.508412
240,509160,19 Avenue West of  65 Street,2018,1400.0,53.4496306,-113.4345908
245,260921,Tomlinson Common North of Terwillegar Vista,2015,1100.0,53.4488219,-113.5832846
247,218542,Rabbit Hill Road West of Terwillegar Drive NB,2016,15000.0,53.4685589,-113.581504
249,331685,135 Street North of 108 Avenue,2012,1600.0,53.5533245,-113.5555046
250,523592,90 Avenue West of  71 Street,2016,11500.0,53.5252503,-113.4383589
251,519314,66 Avenue West of Oak Wood Road,2018,1600.0,53.5030578,-113.3685806
254,110709,66 Street North of 114 Avenue,2015,1200.0,53.5679715,-113.4416594
255,335545,163 Street North of Stony Plain Road,2016,7500.0,53.541874,-113.602613
256,257969,Hodgson Road North of Hollands Landing,2013,1000.0,53.4582043,-113.556269
257,425236,180 Avenue West of  82 Street,2011,1200.0,53.6420953,-113.4686121
260,102794,112 Avenue West of  80 Street,2011,27600.0,53.5612309,-113.4652936
261,308096,100 Avenue West of 156 Street,2011,12700.0,53.539273,-113.591646
262,313488,111 Avenue West of 166A Street,2013,5900.0,53.5595696,-113.6101114
264,254933,114 Street North of 87 Avenue,2017,4400.0,53.5237052,-113.5255751
267,534903,50 Street North of 90 Avenue,2018,21200.0,53.5225237,-113.4186008
269,510232,23 Avenue West of  47 Street,2018,24000.0,53.4551199,-113.4165864
272,225538,49 Avenue West of 186 Street,2012,700.0,53.4859697,-113.6470555
274,230422,Wanyandi Road West of Walker Road,2011,2300.0,53.5015333,-113.6084476
275,501880,Winspear Common SW West of Winspear Crescent SW,2014,1700.0,53.4145683,-113.4424688
276,110065,34 Street North of 116A Avenue,2012,8000.0,53.5693654,-113.3937076
277,524996,94B Avenue West of 68 Street,2014,2000.0,53.5332154,-113.4336735
278,540747,93 Street North of  31 Avenue,2016,2600.0,53.4649185,-113.4758157
280,534903,50 Street North of 90 Avenue,2015,28100.0,53.5225237,-113.4186008
282,518900,64 Avenue West of  27 Street,2017,800.0,53.501191,-113.3841928
283,516068,40 Avenue West of  50 Street,2018,4400.0,53.4760583,-113.4181961
286,102742,112 Avenue West of  64 Street,2017,15200.0,53.5650553,-113.4371718
288,530775,17 Street North of  68 Avenue,2018,11600.0,53.5055397,-113.3692641
290,308548,Stony Plain Road West of 154 Street,2011,20600.0,53.541296,-113.587497
293,337373,Anthony Henday Drive West North of Yellowhead Trail,2014,50100.0,53.5841,-113.6559
296,513692,Tamarack Green West of  12 Street,2017,800.0,53.4702559,-113.3603967
297,336105,170 Street North of 105 Avenue,2014,31300.0,53.5508775,-113.6153544
298,531283,23 Street North of  35A Avenue,2018,500.0,53.4706788,-113.3768363
300,402334,129 Avenue West of Fort Road,2011,3800.0,53.587637,-113.4379902
302,539103,82 Street North of  34 Avenue,2015,800.0,53.4655556,-113.4565432
303,223282,Whitemud Drive West of Calgary Trail,2017,93800.0,53.480934,-113.5025435
304,213436,23 Avenue West of 119 Street,2011,28200.0,53.4546594,-113.5385164
305,402592,129 Avenue West of 120 Street,2011,1900.0,53.5875997,-113.5295052
308,228778,58 Avenue West of 112 Street,2017,100.0,53.4959645,-113.5215192
309,105352,121 Avenue West of  54 Street,2011,1000.0,53.5750795,-113.4253278
310,436661,66 Street North of 149 Avenue,2012,18300.0,53.6121274,-113.4428376
312,534791,50 Street North of  19 Avenue,2017,30000.0,53.452189,-113.419452
313,239314,Emily Murphy Park Road West of Saskatchewan Drive,2017,8100.0,53.53228,-113.5357195
314,235720,University Avenue West of 104 Street,2013,1200.0,53.5120004,-113.4997916
316,434373,50 Street North of McLeod Road,2017,20000.0,53.614579,-113.41823
317,420376,167 Avenue West of  91 Street,2015,34600.0,53.628818,-113.4843952
318,105920,123 Avenue West of  52 Street,2016,1900.0,53.578358,-113.4222521
319,111375,92 Street  North of 109A Avenue,2015,1200.0,53.5576518,-113.4811397
320,510288,23 Avenue West of  85 Street,2015,24300.0,53.4518853,-113.4629644
322,253251,James Mowatt Trail East of 127 Street SW,2016,3200.0,53.40406,-113.53822
323,527420,106 Avenue West of  62 Street,2011,16000.0,53.549315,-113.43053
324,416872,160 Avenue West of Cherry Grove Place,2015,8000.0,53.6208549,-113.4662559
326,504736,Ellerslie Road SW West of  85 Street SW,2016,27800.0,53.4249122,-113.4675779
327,440353,91 Street North of 175 Avenue,2014,4600.0,53.6372648,-113.4797817
328,538067,75 Street North of  90 Avenue,2012,38100.0,53.5265815,-113.4428196
329,314972,118 Avenue West of 145 Street,2011,16900.0,53.5704282,-113.5736709
330,515192,38 Avenue West of  17 Street,2018,10800.0,53.4771662,-113.3727894
331,337193,189 Street North of  94 Avenue,2017,6000.0,53.5296072,-113.6491329
332,302316,87 Avenue West of 157 Street,2012,19700.0,53.5194921,-113.5937977
333,540751,93 Street North of  34 Avenue,2017,2300.0,53.4666798,-113.4742868
334,435005,55 Street North of 165 Avenue,2017,2300.0,53.6280127,-113.4183041
336,525012,94B Avenue West of Ottewell Road,2015,1900.0,53.5324243,-113.4371089
337,316306,Yellowhead Trail West of 143 Street,2013,61000.0,53.5812306,-113.5688145
338,530447,12 Street North of  37B Avenue,2017,1200.0,53.4747362,-113.3601539
339,338125,215 Street North of Webber Greens Drive,2014,7400.0,53.5286664,-113.6889729
340,112275,109 Street North of 111 Avenue,2013,26200.0,53.559475,-113.508439
341,435697,59A Street North of 156 Avenue,2016,4800.0,53.6182198,-113.4317309
343,302372,87 Avenue West of 170 Street,2015,24800.0,53.519569,-113.617157
344,330485,127 Street North of 123 Avenue,2012,18600.0,53.5784862,-113.5411964
345,334733,156 Street North of Meadowlark Road,2013,15400.0,53.525674,-113.590322
346,213508,23 Avenue West of Terwillegar Drive NB,2015,15500.0,53.4576099,-113.5891662
348,252581,109 Street North of  25 Avenue,2012,7400.0,53.4580811,-113.5095582
351,507876,13 Avenue West of  49A Street,2017,6400.0,53.4424427,-113.4178634
353,538095,75 Street North of  98 Avenue,2014,46800.0,53.5389343,-113.4432422
354,330417,127 Street North of 109A Avenue,2014,1500.0,53.556562,-113.5411604
356,414308,153 Avenue West of Miller Boulevard,2014,10200.0,53.6158032,-113.4141132
364,210070,12 Avenue West of Twin Brooks Drive East,2012,4200.0,53.4429837,-113.5232549
365,252401,108 Street North of  81 Avenue,2016,1600.0,53.517519,-113.5092974
366,522152,82 (Whyte) Avenue West of  97 Street,2016,26200.0,53.5180644,-113.4812656
367,265387,184 Street South of Anthony Henday Drive,2016,4800.0,53.462,-113.63689
369,525674,98 Avenue West of  62 Street,2015,4600.0,53.5378921,-113.4294467
370,256331,119 Street North of  40 Avenue,2014,23700.0,53.4776479,-113.5387592
371,541407,97 Street North of  74 Avenue,2012,700.0,53.5108292,-113.4797907
372,512992,34 Avenue West of  58 Street,2013,18300.0,53.465496,-113.432184
374,230002,61 Avenue West of 104 Street,2018,8700.0,53.49798,-113.498719
375,541787,99 Street North of  75 Avenue,2013,28700.0,53.5118239,-113.4861489
377,539691,Lakewood Road West North of  28 Avenue,2011,3000.0,53.4596768,-113.4599337
378,316252,Yellowhead Trail West of 124 Street,2014,68500.0,53.580598,-113.537654
379,406252,Delwood Road West of  77 Street,2013,2000.0,53.5965617,-113.4599876
381,254897,114 Street North of  73 Avenue,2016,41900.0,53.51008,-113.525887
382,311256,107 Avenue West of 156 Street,2018,21200.0,53.551189,-113.592375
383,541127,96 Street North of  68 Avenue,2017,5400.0,53.5053418,-113.4763822
385,538987,81 Street North of  80 Avenue,2016,300.0,53.5163908,-113.4520826
386,235878,76 Avenue West of 115 Street,2015,2500.0,53.5122838,-113.5298829
387,334705,156 Street North of  80 Avenue,2013,4800.0,53.5142464,-113.5903803
388,541739,99 Street North of  62 Avenue,2017,23500.0,53.4989924,-113.4861759
390,441237,97 Street North of 127 Avenue,2016,50400.0,53.5851653,-113.4920844
391,212536,Tomlinson Common West of Tomlinson Way,2011,2400.0,53.4499841,-113.5857577
392,313452,111 Avenue West of 156 Street,2011,25000.0,53.558936,-113.592957
393,226924,53 Avenue West of 105B Street,2018,200.0,53.4898438,-113.50329
394,308176,100 Avenue West of 169 Street,2017,18800.0,53.5392817,-113.6134568
395,433585,37 Street North of 138A Avenue,2018,200.0,53.6017065,-113.3990496
396,318216,Cumberland Road West of Hudson Road,2011,4000.0,53.6075122,-113.549677
397,255221,115 Street North of  75 Avenue,2018,1400.0,53.5117918,-113.5288217
399,112147,106 Street North of 102 Avenue,2015,4200.0,53.5435891,-113.5028853
400,207316,Windemere Boulevard SW West of Windemere Road SW,2015,6700.0,53.43941,-113.62
401,220942,40 Avenue West of 106 Street,2018,4700.0,53.475705,-113.5079125
402,261635,Riverbend Road North of Rhatigan Road East,2015,12600.0,53.4775194,-113.5830058
403,255479,116 Street North of  87 Avenue,2013,9500.0,53.5237961,-113.5305934
406,427280,Manning Drive West of Meridian Street,2017,26300.0,53.6614013,-113.3577707
408,113095,123 Street North of 110 Avenue,2014,400.0,53.5582394,-113.5341457
409,111825,100 Street North of 102A Avenue,2018,12600.0,53.5449464,-113.4909962
410,533087,Jefferson Road East North of Jackson Road,2013,700.0,53.483773,-113.401756
412,408144,139 Avenue West of Victoria Trail,2015,4300.0,53.6028111,-113.3871606
414,536723,66 Street SW North of Shaw Way SW,2018,7500.0,53.4185025,-113.4427296
415,250109,Gateway Boulevard North of  58 Avenue,2014,33600.0,53.4963069,-113.4919585
418,238744,87 Avenue West of 120 Street,2016,8900.0,53.522965,-113.538889
420,541263,Parsons Road North of  21 Avenue,2011,18500.0,53.452046,-113.4791881
421,530563,Tamarack Road North of 37C Avenue,2013,1600.0,53.4756515,-113.3654689
423,214744,Hodgson Road West of Hollands Landing,2017,900.0,53.4571494,-113.557546
424,407636,137 Avenue West of 123A Street,2012,38600.0,53.59952,-113.53777
425,508352,Mill Woods Road South West of  62 Street,2014,7000.0,53.445872,-113.433107
427,400448,Yellowhead Trail West of  82 Street,2016,75200.0,53.581316,-113.4747545
428,336317,175 Street North of  82 Avenue,2014,3200.0,53.5175083,-113.623826
429,105072,120 Avenue West of  68 Street,2013,500.0,53.5735522,-113.4468215
430,444161,121 Street North of 146 Avenue,2015,4800.0,53.6090436,-113.5312948
432,208516,Rabbit Hill Road West of Mullen Way,2014,10800.0,53.4358106,-113.5730773
434,523360,88 Avenue West of  99 Street,2014,200.0,53.5235288,-113.4870752
435,414444,153 Avenue West of 126 Street,2016,22100.0,53.6170249,-113.5396495
436,237868,University Avenue West of 119 Street,2013,17800.0,53.5181393,-113.5354767
437,228466,57 Avenue West of Lessard Drive West,2018,2100.0,53.4928935,-113.6227019
438,100696,Jasper Avenue West of 102 Street,2017,21500.0,53.5409278,-113.4964551
439,520884,76 Avenue West of  73 Street,2016,5400.0,53.512268,-113.442126
440,313036,110 Avenue West of 160 Street,2017,900.0,53.5560331,-113.5964057
442,532487,34 Street North of Whitemud Drive Westbound,2016,16200.0,53.4884312,-113.3939235
443,334809,156 Street North of 107 Avenue,2014,17500.0,53.551994,-113.590391
444,534907,50 Street North of  90A Avenue,2011,30200.0,53.523779,-113.418586
446,435689,59A Street North of 153 Avenue,2012,7000.0,53.6165981,-113.4328551
447,525928,Terrace Road West of  57 Street,2015,17200.0,53.5405483,-113.4240417
448,337745,Suder Greens Drive North of 88 Avenue,2011,6600.0,53.5233738,-113.674179
449,431685,18 Street North of Fort Road North,2017,1000.0,53.6468347,-113.3689673
450,515200,38 Avenue West of  21 Street,2014,7500.0,53.4769628,-113.3772141
451,256217,119 Street SW North of Rutherford Road SW,2015,6000.0,53.4235778,-113.5286508
452,310524,106 Avenue West of 124 Street,2017,1000.0,53.5493654,-113.5368976
453,434357,50 Street North of 140 Avenue,2016,26500.0,53.6054419,-113.4182411
454,305808,95 Avenue West of 175 Street,2013,12200.0,53.5296607,-113.6245365
455,520980,76 Avenue West of  89 Street West,2013,5900.0,53.5122838,-113.4655814
456,254873,114 Street North of  55 Avenue,2013,1800.0,53.4926902,-113.5254672
457,267395,199 Street North of  69 Avenue,2017,7300.0,53.5048925,-113.6644933
458,254117,112 Street North of  80 Avenue,2014,200.0,53.516626,-113.5207458
460,407414,137 Avenue West of Manning Crossing,2015,27400.0,53.5995451,-113.4253817
462,504704,Ellerslie Road SW West of  66 Street SW,2013,16700.0,53.4249122,-113.4447981
463,427264,Manning Drive NE West of  17 Street NE,2014,24400.0,53.6776782,-113.3306202
464,539007,81 Street North of 86 Avenue,2017,300.0,53.5228658,-113.4520826
466,233554,70 Avenue West of 109 Street,2017,900.0,53.5065987,-113.5135782
467,258707,141 Street SW North of  41 Avenue SW,2014,1800.0,53.3974392,-113.5653701
469,105932,123 Avenue West of  55 Street,2014,1200.0,53.5783367,-113.4269106
470,405384,134 Avenue West of  59 Street,2017,1400.0,53.5954623,-113.432936
471,252887,109A Street North of  54 Avenue,2012,100.0,53.4928614,-113.5135602
472,261923,Riverbend Road North of Rabbit Hill Road,2014,10900.0,53.4732856,-113.5925746
474,405516,134 Avenue West of  82 Street,2012,1100.0,53.5953769,-113.4684322
475,436657,66 Street North of 144 Avenue,2017,23800.0,53.6072668,-113.4428016
476,256739,122 Street North of  51 Avenue,2014,12600.0,53.492305,-113.5411424
478,504736,Ellerslie Road SW West of  85 Street SW,2011,17900.0,53.4249122,-113.4675779
479,252779,109 Street North of  76 Avenue,2014,30100.0,53.5126796,-113.5120493
480,110009,Abbottsfield Road North of 119 Avenue,2016,2200.0,53.5736323,-113.3885995
481,112225,108 Street North of 100 Avenue,2015,3100.0,53.5399444,-113.5066084
482,112261,109 Street North of 104 Avenue,2017,35700.0,53.5470785,-113.5083711
485,230812,63 Avenue West of Gateway Boulevard,2015,25500.0,53.499899,-113.496105
487,264929,Lessard Road North of Dechene Way,2012,12000.0,53.490956,-113.630529
488,440965,95 Street North of 162 Avenue,2014,4100.0,53.62557,-113.4870392
489,258935,Rabbit Hill Road North of Sandin Way,2017,14300.0,53.4432997,-113.5656219
490,441233,97 Street North of 125A Avenue,2015,59200.0,53.5840175,-113.4920304
491,223198,Whitemud Drive CD WB West of Gateway Boulevard,2017,15800.0,53.4810892,-113.493991
493,112545,113 Street North of 100 Avenue,2018,1400.0,53.5400192,-113.5157995
494,261923,Riverbend Road North of Rabbit Hill Road,2012,11200.0,53.4732856,-113.5925746
495,508456,16A Avenue West of  34 Street,2013,2400.0,53.4437657,-113.3963966
497,269183,215 Street SW North of  25 Avenue SW,2015,1100.0,53.415308,-113.6891797
498,335545,163 Street North of Stony Plain Road,2017,7000.0,53.541874,-113.602613
499,110817,73 Street North of 112 Avenue,2016,1500.0,53.5625342,-113.4489439
500,314964,118 Avenue West of 142 Street,2016,15900.0,53.5703908,-113.5678702
501,536227,62 Street SW North of   8 Avenue SW,2018,2800.0,53.4259571,-113.4363085
502,510176,23 Avenue West of  17 Street,2017,12400.0,53.4540275,-113.371989
504,430933,Meridian Street NE North of 162A Avenue NE,2016,1500.0,53.62757,-113.3443618
505,435709,59A Street North of 159A Avenue,2013,4300.0,53.6216284,-113.4307327
507,415864,Brintnell Boulevard West of  48 Street,2015,4600.0,53.6199908,-113.4160468
